gene,status,fr_status,yn_status,n_taxa,n_codons,yn_n_pairs,dN_hp_yn,dS_hp_yn,omega_hp_yn,dN_background_yn,dS_background_yn,omega_background_yn,yn_n_background_pairs,lnL_m0,np_m0,omega_m0,kappa_m0,tree_len_m0,tree_dN_m0,tree_dS_m0,dN_human_m0,dS_human_m0,omega_human_m0,dN_platypus_m0,dS_platypus_m0,omega_platypus_m0,dN_background_m0,dS_background_m0,omega_background_m0,n_branches_m0,lnL_m2,np_m2,tree_dN_m2,tree_dS_m2,omega_bg_m2,omega_plat_m2,dN_human_m2,dS_human_m2,omega_human_m2,dN_platypus_m2,dS_platypus_m2,omega_platypus_m2,dN_background_m2,dS_background_m2,omega_background_m2,n_branches_m2,lrt_m2_vs_m0,lrt_p_m2_vs_m0,m2_converged,dS_saturated
ENSG00000114248,ok,not_requested,ok,21,552,210.0,0.2655,0.7703,0.3446,0.13427894736842105,0.4289637426900585,0.3236,171.0,-14336.681119,42,0.37249,3.12199,6.797393,1.5232,4.0891,0.0016,0.0043,0.3725,0.0543,0.1458,0.3725,1.4674,3.9389,0.37254055700830185,40,-14335.564218,43.0,1.5214,4.1324,0.38005,0.28278,0.0016,0.0042,0.3801,0.1427,0.5048,0.2828,1.3773,3.6237,0.38008113254408477,40.0,2.23380200000247,0.1350212388928549,True,False
ENSG00000114446,ok,not_requested,ok,24,409,276.0,0.1161,0.8011,0.145,0.04155930735930736,0.29624458874458875,0.1141,231.0,-7210.724253,48,0.11517,2.50612,3.842764,0.416,3.6123,0.0008,0.007,0.1152,0.0384,0.3335,0.1152,0.3769,3.2717,0.11520004890423939,46,-7208.933189,49.0,0.4149,3.7195,0.12155,0.08315,0.0008,0.0069,0.1215,0.0805,0.9679,0.0831,0.3336,2.7448,0.12153890993879335,46.0,3.5821280000000115,0.0584042899517827,True,False
ENSG00000114491,ok,not_requested,ok,23,480,253.0,0.2439,4.35,0.0561,0.08037571428571429,0.4116314285714286,0.17665,210.0,-12206.786572,46,0.19123,2.29754,6.962842,1.0507,5.4942,0.0025,0.0129,0.1912,0.0445,0.2325,0.1912,1.0033,5.2488,0.1911484529797287,44,-12206.786572,47.0,1.0506,5.4942,0.19123,0.67335,0.0025,0.0129,0.1912,0.0,0.0,0.6734,1.0478,5.4813,0.19115903161658732,44.0,0.0,1.0,True,False
ENSG00000114541,ok,not_requested,ok,24,1034,276.0,0.1034,1.042,0.0992,0.04861385281385281,0.535948051948052,0.0856,231.0,-20320.215473,48,0.10302,2.28675,4.613879,0.4733,4.5942,0.0005,0.0049,0.103,0.0251,0.2436,0.103,0.4479,4.3454,0.10307451557969348,46,-20317.766589,49.0,0.4737,4.5682,0.10003,0.31868,0.0005,0.0049,0.1,0.0244,0.0764,0.3187,0.4487,4.4871,0.09999777138909317,46.0,4.897768000002543,0.026891431248518213,True,False
ENSG00000114988,ok,not_requested,ok,23,342,253.0,0.0625,1.2601,0.0496,0.03536238095238095,0.6541271428571429,0.033699999999999994,210.0,-5959.236963,46,0.08286,3.45462,4.298263,0.3795,4.5803,0.0,0.0,0.0829,0.0108,0.1305,0.0829,0.3686,4.4498999999999995,0.08283332209712578,44,-5958.954999,47.0,0.38,4.6064,0.08459,0.0001,0.0,0.0,0.0846,0.0,0.114,0.0001,0.3798,4.4924,0.08454278336746505,44.0,0.5639280000013969,0.4526819069871745,True,False
ENSG00000115109,ok,not_requested,ok,23,731,253.0,0.2617,0.5049,0.5182,0.2509304761904762,0.3391057142857143,0.7805,210.0,-16689.664012,46,0.22531,3.05924,5.317486,0.9156,4.0639,0.0008,0.0035,0.2253,0.0061,0.0273,0.2253,0.9085,4.0332,0.22525538034315185,44,-16689.664012,47.0,0.9156,4.0639,0.22531,0.59246,0.0008,0.0035,0.2253,0.0,0.0,0.5925,0.9146,4.0605,0.22524319665065876,44.0,0.0,1.0,True,False
ENSG00000115137,ok,not_requested,ok,24,263,276.0,0.0906,3.9017,0.0232,0.04612077922077922,0.4214134199134199,0.0822,231.0,-5131.532667,48,0.09148,2.25248,5.138142,0.4752,5.1944,0.0007,0.0081,0.0915,0.0481,0.5262,0.0915,0.4261,4.6602,0.09143384404102828,46,-5124.551723,49.0,0.4727,5.8734,0.10226,0.03835,0.0008,0.0078,0.1023,0.0768,2.0022,0.0384,0.3952,3.8635,0.1022906690824382,46.0,13.961888000001636,0.00018655421846003944,True,False
ENSG00000115216,ok,not_requested,ok,24,535,276.0,0.0364,1.0946,0.0332,0.004266666666666667,0.22774632034632034,0.0142,231.0,-6560.252137,48,0.02389,3.50322,2.577118,0.0679,2.8431,0.0002,0.0104,0.0239,0.0089,0.3712,0.0239,0.0586,2.4616,0.023805654858628535,46,-6560.147719,49.0,0.0679,2.8318,0.02311,0.02631,0.0002,0.0104,0.0231,0.0204,0.7751,0.0263,0.047,2.0464,0.022967161845191552,46.0,0.20883600000161096,0.6476812688794371,True,False
ENSG00000115268,ok,not_requested,ok,20,144,190.0,-0.0,2.332,0.0,0.14357843137254903,1.7756888888888889,0.0782,153.0,-3920.291302,40,0.04442,3.56417,19.677306,1.5216,34.254,0.0033,0.0747,0.0444,0.0093,0.21,0.0444,1.5088,33.9693,0.044416576143753335,38,-3904.515117,41.0,1.5256,29.8442,0.05394,0.0001,0.0038,0.0707,0.0539,0.0002,1.5617,0.0001,1.5214,28.2119,0.05392759792853371,38.0,31.552370000000337,1.9413329495380627e-08,True,False
ENSG00000115286,ok,not_requested,ok,21,210,210.0,-0.0,3.0879,0.0,0.067146783625731,1.5435736842105263,0.0083,171.0,-5676.80768,42,0.10733,2.32605,8.714763,1.0609,9.8845,0.0,0.0,0.1073,0.0155,0.1441,0.1073,1.0451,9.7407,0.10729208373114868,40,-5675.168088,43.0,1.0584,9.9591,0.11172,0.06151,0.0,0.0,0.1117,0.0665,1.0818,0.0615,0.9919,8.8771,0.11173694111815795,40.0,3.279183999999077,0.07016380573454187,True,False
ENSG00000115474,ok,not_requested,ok,24,360,276.0,0.0664,0.8041,0.0826,0.03666623376623376,0.25974415584415583,0.1337,231.0,-5762.279879,48,0.11744,3.56836,3.460189,0.3582,3.0501,0.0003,0.0026,0.1174,0.031,0.2643,0.1174,0.32689999999999997,2.7831,0.1174589486543782,46,-5762.279879,49.0,0.3582,3.0501,0.11744,0.54793,0.0003,0.0026,0.1174,0.0,0.0,0.5479,0.3579,3.0474,0.1174443788147273,46.0,0.0,1.0,True,False
ENSG00000115486,ok,not_requested,ok,24,756,276.0,0.137,2.7252,0.0503,0.056916017316017316,0.37210952380952383,0.149,231.0,-15667.166281,48,0.15137,2.95923,4.588526,0.6102,4.0309,0.0015,0.0099,0.1514,0.0327,0.2161,0.1514,0.5761,3.805,0.15140604467805516,46,-15653.207845,49.0,0.6117,4.2521,0.16263,0.0001,0.0016,0.0097,0.1626,0.0,0.4913,0.0001,0.61,3.7513,0.16261029509769945,46.0,27.916871999997966,1.266406681999674e-07,True,False
ENSG00000115568,ok,not_requested,ok,8,1802,28.0,0.2914,2.873,0.1014,0.047946666666666665,0.2910933333333333,0.168,15.0,-17530.986401,16,0.15299,2.94506,3.140478,0.427,2.7911,0.0014,0.0094,0.153,0.101,0.6603,0.153,0.3246,2.1217,0.1529905264646274,14,-17522.246932,17.0,0.4238,3.9443,0.17465,0.09324,0.0016,0.009,0.1747,0.3035,3.2555,0.0932,0.1187,0.6798,0.1746101794645484,14.0,17.4789380000002,2.9050830113937426e-05,True,False
ENSG00000115760,ok,not_requested,ok,23,4855,253.0,0.0402,0.9123,0.0441,0.016954761904761903,0.3425595238095238,0.047799999999999995,210.0,-70334.889369,46,0.04954,3.10782,2.92469,0.1568,3.1652,0.0003,0.0067,0.0495,0.0182,0.3684,0.0495,0.1382,2.7899,0.04953582565683358,44,-70334.889377,47.0,0.1568,3.1652,0.04954,1.11771,0.0003,0.0067,0.0495,0.0,0.0,1.1177,0.1565,3.1583,0.04955197416331571,44.0,-1.6000005416572094e-05,1.0,True,False
ENSG00000115761,ok,not_requested,ok,23,687,253.0,0.0569,0.998,0.057,0.042242857142857144,0.5786757142857143,0.06340000000000001,210.0,-13784.602842,46,0.08128,1.99074,4.502923,0.3926,4.8307,0.0,0.0,0.0813,0.0083,0.1026,0.0813,0.3843,4.7283,0.08127656874563796,44,-13784.602843,47.0,0.3926,4.8307,0.08128,0.74651,0.0,0.0,0.0813,0.0,0.0,0.7465,0.3927,4.8309,0.08128920077004285,44.0,-2.0000006770715117e-06,1.0,True,False
ENSG00000115942,ok,not_requested,ok,24,576,276.0,0.1597,1.0993,0.1453,0.07594502164502165,0.34197229437229437,0.2162,231.0,-12083.468911,48,0.19797,2.6486,4.551928,0.7549,3.8131,0.0014,0.0072,0.198,0.031,0.1566,0.198,0.7222999999999999,3.6493,0.19792836982434986,46,-12062.438727,49.0,0.7474,4.0617,0.22073,0.07008,0.0015,0.0069,0.2207,0.0694,0.9898,0.0701,0.6763,3.0649,0.22065972788671734,46.0,42.06036799999856,8.84987245072451e-11,True,False
ENSG00000116096,ok,not_requested,ok,22,261,231.0,0.2991,2.6184,0.1142,0.2527,0.5724368421052631,0.23120000000000002,190.0,-6211.511939,44,0.20063,2.53925,6.209134,1.0859,5.4123,0.0029,0.0144,0.2006,0.0364,0.1815,0.2006,1.0462,5.2164,0.20055977302354114,42,-6205.137107,45.0,1.086,5.8439,0.21436,0.0001,0.003,0.014,0.2144,0.0001,0.778,0.0001,1.0829,5.052,0.21435075217735552,42.0,12.749664000000848,0.0003560731228937721,True,False
ENSG00000116885,ok,not_requested,ok,24,379,276.0,0.1007,0.6499,0.155,0.06514545454545455,0.3396017316017316,0.1848,231.0,-8280.728255,48,0.19037,2.7499,4.796378,0.7498,3.9388,0.0013,0.0066,0.1904,0.0341,0.1792,0.1904,0.7144,3.7532,0.19034423958222318,46,-8267.695882,49.0,0.75,4.0358,0.20813,0.06483,0.0013,0.0064,0.2081,0.0407,0.6279,0.0648,0.7079,3.4017,0.20810183143722255,46.0,26.064746000000014,3.3015760995042417e-07,True,False
ENSG00000116984,ok,not_requested,ok,24,1251,276.0,0.1342,3.6818,0.0365,0.050144155844155845,0.41996623376623377,0.1149,231.0,-25686.899729,48,0.09885,2.72167,5.418665,0.5095,5.1539,0.0005,0.0048,0.0988,0.0335,0.3392,0.0988,0.47559999999999997,4.8098,0.09888145037215684,46,-25686.899731,49.0,0.5095,5.1539,0.09885,1.34037,0.0005,0.0048,0.0988,0.0,0.0,1.3404,0.5091,5.149,0.09887356768304525,46.0,-4.0000013541430235e-06,1.0,True,False
ENSG00000117118,ok,not_requested,ok,19,280,171.0,0.1038,1.128,0.092,0.06972058823529412,0.7363507352941177,0.0953,136.0,-5866.299729,38,0.1153,1.86585,5.207128,0.6307,5.4697,0.0018,0.0154,0.1153,0.0262,0.227,0.1153,0.6025,5.2272,0.11526247321701868,36,-5866.299729,39.0,0.6307,5.4697,0.1153,0.51205,0.0018,0.0154,0.1153,0.0,0.0,0.5121,0.6287,5.4542,0.11526896703457885,36.0,0.0,1.0,True,False
ENSG00000117143,ok,not_requested,ok,23,521,253.0,0.1198,1.8982,0.0631,0.03775761904761905,0.38319380952380955,0.0844,210.0,-9383.947463,46,0.08521,2.78212,5.055625,0.4207,4.9379,0.0003,0.0039,0.0852,0.0537,0.6297,0.0852,0.3666,4.3046,0.08516470752218556,44,-9378.38771,47.0,0.4181,5.4074,0.09246,0.03221,0.0004,0.0038,0.0925,0.0438,1.3586,0.0322,0.3741,4.045,0.09248454882571075,44.0,11.119505999999092,0.0008542453599058699,True,False
ENSG00000117362,ok,not_requested,ok,24,262,276.0,0.2727,1.7249,0.1581,0.016404761904761905,0.1961861471861472,0.0264,231.0,-4355.231022,48,0.13317,1.93612,5.085539,0.5793,4.3502,0.0,0.0,0.1332,0.0697,0.5233,0.1332,0.5097,3.8268999999999997,0.13318874284669055,46,-4355.231022,49.0,0.5793,4.3503,0.13317,1.71538,0.0,0.0,0.1332,0.0,0.0,1.7154,0.5795,4.3502,0.13321226610270792,46.0,0.0,1.0,True,False
ENSG00000117758,ok,not_requested,ok,21,269,210.0,0.0753,1.3841,0.0544,0.029761988304093566,0.2786385964912281,0.09145,171.0,-4052.89095,42,0.11584,2.11296,2.995647,0.3431,2.9619,0.0,0.0,0.1158,0.0406,0.3506,0.1158,0.3025,2.6115,0.11583381198544898,40,-4042.14487,43.0,0.3434,3.3177,0.14213,0.0412,0.0,0.0,0.1421,0.0523,1.2699,0.0412,0.291,2.0475,0.14212454212454212,40.0,21.492159999999785,3.5527821018257943e-06,True,False
ENSG00000118257,ok,not_requested,ok,24,926,276.0,0.0827,1.2132,0.0681,0.025975757575757576,0.6135757575757576,0.04,231.0,-17079.018927,48,0.05951,2.79579,4.229553,0.3171,5.3289,0.001,0.0169,0.0595,0.0081,0.1353,0.0595,0.3078,5.1765,0.0594610257896262,46,-17067.330129,49.0,0.3182,5.259,0.055,0.12441,0.0009,0.0171,0.055,0.052,0.4176,0.1244,0.2656,4.8242,0.05505576054060777,46.0,23.377595999998448,1.3311995812913754e-06,True,False
ENSG00000118363,ok,not_requested,ok,23,226,253.0,0.1293,1.2246,0.1056,0.061,0.4291480952380952,0.07245,210.0,-5016.018871,46,0.1721,1.82594,5.780986,0.885,5.1426,0.0,0.0,0.1721,0.0335,0.1945,0.1721,0.8516,4.9478,0.17211690044059988,44,-5016.001354,47.0,0.8848,5.1509,0.17278,0.0001,0.0,0.0,0.1728,0.0,0.0296,0.0001,0.8848,5.1209999999999996,0.1727787541495802,44.0,0.03503400000045076,0.8515244321429326,True,False
ENSG00000118689,ok,not_requested,ok,24,672,276.0,0.0877,1.4164,0.0619,0.01833896103896104,0.5477186147186147,0.0343,231.0,-10698.395992,48,0.05832,3.37753,3.717507,0.2816,4.8283,0.0001,0.0022,0.0583,0.006,0.1027,0.0583,0.2756,4.7233,0.05834903563186755,46,-10689.774215,49.0,0.2811,4.6771,0.05309,21.67129,0.0001,0.0023,0.0531,0.0329,0.0015,21.6713,0.2481,4.6734,0.053087687764796505,46.0,17.243554000000586,3.288112203683399e-05,True,False
ENSG00000118939,ok,not_requested,ok,19,294,171.0,0.0262,0.6989,0.0374,0.02734264705882353,0.26392941176470586,0.0489,136.0,-3523.553117,38,0.11438,2.9532,2.320511,0.2512,2.196,0.0011,0.0094,0.1144,0.013,0.114,0.1144,0.2367,2.0726,0.11420438097076135,36,-3517.092503,39.0,0.254,2.198,0.13022,0.02981,0.0012,0.0091,0.1302,0.0096,0.3214,0.0298,0.2434,1.8675,0.13033467202141902,36.0,12.921228000000156,0.00032487665811588675,True,False
ENSG00000119431,ok,not_requested,ok,24,241,276.0,0.2592,0.9771,0.2653,0.12252380952380952,0.5182831168831169,0.2565,231.0,-6758.067429,48,0.24174,4.16469,7.102734,1.2574,5.2013,0.005,0.0207,0.2417,0.0193,0.0798,0.2417,1.233,5.1008,0.24172678795483066,46,-6757.620188,49.0,1.2555,5.2893,0.24565,0.18938,0.005,0.0205,0.2456,0.1474,0.7784,0.1894,1.103,4.4904,0.24563513272759663,46.0,0.894481999999698,0.34426561156569935,True,False
ENSG00000119471,ok,not_requested,ok,24,417,276.0,0.078,0.8045,0.0969,0.0744077922077922,0.41195714285714286,0.1597,231.0,-9195.422688,48,0.2092,2.38454,4.74641,0.8009,3.8282,0.0008,0.004,0.2092,0.02,0.0958,0.2092,0.7802,3.7283,0.20926427594345948,46,-9183.968776,49.0,0.799,3.8997,0.22757,0.06533,0.0009,0.0039,0.2276,0.0356,0.5454,0.0653,0.7625,3.3505000000000003,0.22757797343680045,46.0,22.90782400000171,1.6995864657658388e-06,True,False
ENSG00000119616,ok,not_requested,ok,17,197,136.0,0.0186,1.2102,0.0154,0.012355238095238096,0.4057447619047619,0.014,105.0,-2434.465544,34,0.03696,2.18693,2.63864,0.1153,3.1188,0.0002,0.0062,0.037,0.008,0.2164,0.037,0.1072,2.8964,0.037011462505178845,32,-2431.684073,35.0,0.1153,3.1912,0.04316,0.0001,0.0003,0.0061,0.0432,0.0001,0.522,0.0001,0.1151,2.6631,0.04322030716082761,32.0,5.562942000000476,0.01834456108351269,True,False
ENSG00000119630,ok,not_requested,ok,24,161,276.0,0.1361,1.7455,0.078,0.1318995670995671,0.6688367965367965,0.1999,231.0,-5105.248981,48,0.2428,2.62165,8.925451,1.8249,7.5162,0.0697,0.2871,0.2428,0.0146,0.0601,0.2428,1.7407000000000001,7.1686,0.24282286638953215,46,-5103.126404,49.0,1.8285,7.5887,0.25226,0.10575,0.0709,0.281,0.2523,0.0619,0.5858,0.1057,1.6957,6.7221,0.2522574790616028,46.0,4.245154000000184,0.0393624996084292,True,False
ENSG00000119698,ok,not_requested,ok,22,872,231.0,0.1928,1.1479,0.168,0.04099736842105263,0.3128352631578947,0.11095,190.0,-15705.844294,44,0.14931,3.28994,4.074075,0.5291,3.5438,0.0005,0.003,0.1493,0.0675,0.4518,0.1493,0.4614,3.089,0.14936872774360635,42,-15705.209289,45.0,0.5308,3.497,0.14609,0.16787,0.0004,0.003,0.1461,0.1536,0.9152,0.1679,0.37670000000000003,2.5785,0.14609268954818694,42.0,1.270010000000184,0.25976480391469875,True,False
ENSG00000119699,ok,not_requested,ok,24,453,276.0,0.0353,0.8552,0.0412,0.02635974025974026,0.4721549783549784,0.0366,231.0,-6792.131814,48,0.06084,3.14841,3.126285,0.2412,3.9648,0.0002,0.003,0.0608,0.0146,0.2392,0.0608,0.2266,3.7228,0.06086816374771677,46,-6792.131814,49.0,0.2412,3.9648,0.06084,0.94613,0.0002,0.003,0.0608,0.0,0.0,0.9461,0.2412,3.9619,0.060879880865241424,46.0,0.0,1.0,True,False
ENSG00000119725,ok,not_requested,ok,24,471,276.0,0.1887,1.9279,0.0979,0.03240995670995671,0.28148398268398267,0.1101,231.0,-8108.683555,48,0.12272,2.76043,4.14283,0.4584,3.7357,0.0042,0.0339,0.1227,0.0825,0.6726,0.1227,0.3718,3.0295,0.12272652252847005,46,-8106.687818,49.0,0.4541,3.9388,0.12852,0.0001,0.0043,0.0334,0.1285,0.0,0.4057,0.0001,0.45,3.4997,0.12858244992427922,46.0,3.9914739999985613,0.04573104180680015,True,False
ENSG00000119820,ok,not_requested,ok,23,230,253.0,0.0088,0.7356,0.012,0.0049642857142857145,0.19732904761904763,0.0249,210.0,-2776.515437,46,0.03848,2.43029,2.166113,0.0895,2.3252,0.0002,0.005,0.0385,0.0063,0.1642,0.0385,0.0832,2.1561,0.038588191642317145,44,-2776.515437,47.0,0.0895,2.3252,0.03848,0.0001,0.0002,0.005,0.0385,0.0,0.0,0.0001,0.0895,2.3203,0.03857259837090031,44.0,0.0,1.0,True,False
ENSG00000120451,ok,not_requested,ok,24,967,276.0,0.2021,1.3238,0.1526,0.09914458874458874,0.4345943722943723,0.2366,231.0,-24175.113169,48,0.23818,3.18729,6.812622,1.1719,4.92,0.0028,0.0116,0.2382,0.0419,0.1757,0.2382,1.1274,4.7328,0.238209939148073,46,-24165.990019,49.0,1.1679,5.3449,0.24688,0.0001,0.0028,0.0114,0.2469,0.0001,0.6145,0.0001,1.1652,4.7189,0.24692195214986545,46.0,18.246299999998882,1.9410262440728717e-05,True,False
ENSG00000120837,ok,not_requested,ok,22,205,231.0,0.0027,1.4471,0.0018,0.015693684210526315,0.58927,0.0136,190.0,-3077.619199,44,0.02084,2.92699,4.393377,0.1167,5.5987,0.0,0.0,0.0208,0.0023,0.1126,0.0208,0.1144,5.4864,0.020851560221638962,42,-3077.6192,45.0,0.1167,5.5987,0.02084,0.06204,0.0,0.0,0.0208,0.0,0.0,0.062,0.1167,5.5988999999999995,0.020843379949632965,42.0,-1.99999976757681e-06,1.0,True,False
ENSG00000120915,ok,not_requested,ok,23,555,253.0,0.3118,1.8357,0.1698,0.16793190476190475,0.5017961904761905,0.33545,210.0,-16452.151272,46,0.30595,2.46616,7.434042,1.5645,5.1137,0.0032,0.0104,0.3059,0.0759,0.2481,0.3059,1.4855,4.8555,0.3059417155802698,44,-16452.151272,47.0,1.5645,5.1137,0.30595,0.47704,0.0032,0.0104,0.3059,0.0,0.0,0.477,1.5614,5.1036,0.3059409044595971,44.0,0.0,1.0,True,False
ENSG00000121940,timeout(3600s),not_requested,ok,23,528,253.0,0.2273,1.0184,0.2232,0.11436142857142857,0.41089476190476193,0.2793,210.0,-14332.843432,46,0.32648,2.19302,6.524379,1.4219,4.3553,0.0021,0.0065,0.3265,0.0821,0.2515,0.3265,1.3376000000000001,4.0974,0.32645092009567045,44,,,,,,,,,,,,,,,,,,,,
ENSG00000122042,ok,not_requested,ok,23,117,253.0,0.0954,1.1316,0.0843,0.04210285714285714,0.4108509523809524,0.0,210.0,-2398.893925,46,0.13429,1.56299,6.007668,0.776,5.7783,0.0,0.0,0.1343,0.045,0.3351,0.1343,0.7312,5.4431,0.1343352133894288,44,-2397.498977,47.0,0.7749,5.7293,0.14623,0.08461,0.0,0.0,0.1462,0.0863,1.0204,0.0846,0.6886,4.7088,0.14623683316343866,44.0,2.7898959999993167,0.09486038369784083,True,False
ENSG00000122068,ok,not_requested,ok,22,314,231.0,0.2071,0.6076,0.3408,0.054634736842105264,0.2634463157894737,0.1658,190.0,-5719.755473,44,0.17813,2.80144,3.757855,0.5741,3.2231,0.0005,0.0027,0.1781,0.0281,0.158,0.1781,0.5458,3.0625,0.1782204081632653,42,-5719.707187,45.0,0.5744,3.2177,0.17662,0.18987,0.0005,0.0027,0.1766,0.0877,0.4621,0.1899,0.4864,2.7531,0.1766735679779158,42.0,0.09657200000037847,0.7559828083780938,True,False
ENSG00000122203,ok,not_requested,ok,21,304,210.0,0.1414,2.6803,0.0527,0.08392748538011696,0.3176269005847953,0.2658,171.0,-5937.408969,42,0.24515,2.86687,4.521434,0.7942,3.2395,0.0018,0.0073,0.2451,0.0621,0.2533,0.2451,0.7305,2.9786,0.24524944604847915,40,-5913.389778,43.0,0.7914,4.0597,0.29459,0.0001,0.002,0.0068,0.2946,0.0001,1.3737,0.0001,0.7894,2.6794,0.29461819810405315,40.0,48.03838200000064,4.179568331531394e-12,True,False
ENSG00000122367,ok,not_requested,ok,23,662,253.0,0.0854,1.3284,0.0643,0.04665142857142857,0.6683061904761904,0.0638,210.0,-14325.349274,46,0.11535,3.18842,5.702168,0.6808,5.9021,0.0004,0.0034,0.1153,0.0319,0.2767,0.1153,0.6484,5.6222,0.11532851908505566,44,-14325.349251,47.0,0.6808,5.902,0.11534,0.12218,0.0004,0.0034,0.1153,0.0014,0.0114,0.1222,0.6789000000000001,5.8873,0.11531601922782941,44.0,4.600000102072954e-05,0.9945885250481612,True,False
ENSG00000122512,ok,not_requested,ok,22,862,231.0,0.1639,1.0916,0.1502,0.11775684210526316,0.6841842105263158,0.18265,190.0,-25249.897314,44,0.24552,2.75856,7.395401,1.3399,5.4573,0.0073,0.0298,0.2455,0.0351,0.1429,0.2455,1.2976,5.2845,0.24554830163686253,42,-25249.74194,45.0,1.3396,5.4628,0.24659,0.0001,0.0073,0.0298,0.2466,0.0,0.0304,0.0001,1.3318,5.4027,0.24650637644140894,42.0,0.3107480000035139,0.5772215450132739,True,False
ENSG00000122694,ok,not_requested,ok,20,148,190.0,0.0527,2.1657,0.0244,0.09476339869281046,0.8749588235294118,0.0322,153.0,-2980.580822,40,0.06808,2.66512,8.167561,0.6665,9.79,0.0017,0.0256,0.0681,0.0111,0.1634,0.0681,0.6536,9.600999999999999,0.06807624205811895,38,-2980.580823,41.0,0.6665,9.7901,0.06808,0.48242,0.0017,0.0256,0.0681,0.0,0.0,0.4824,0.6647,9.7644,0.06807381917987791,38.0,-1.99999976757681e-06,1.0,True,False
ENSG00000122966,ok,not_requested,ok,24,2050,276.0,0.0616,1.0096,0.061,0.017837229437229436,0.39449047619047617,0.0432,231.0,-33471.712693,48,0.04767,2.57656,3.560466,0.1966,4.1252,0.0005,0.01,0.0477,0.0137,0.2883,0.0477,0.1824,3.8268,0.047663844465349645,46,-33469.514916,49.0,0.1969,4.0994,0.0462,6.81865,0.0005,0.0101,0.0462,0.0076,0.0011,6.8186,0.1888,4.0882,0.046181693654909255,46.0,4.3955540000024484,0.03603275111314775,True,False
ENSG00000123388,ok,not_requested,ok,23,298,253.0,0.1542,2.3994,0.0643,0.07007714285714285,0.38306904761904764,0.057999999999999996,210.0,-6335.828629,46,0.15311,1.67486,5.532447,0.9178,5.9941,0.0023,0.0151,0.1531,0.0454,0.2962,0.1531,0.8703000000000001,5.683,0.15314094668308995,44,-6329.386996,47.0,0.9149,6.2419,0.16636,0.0001,0.0024,0.0146,0.1664,0.0001,0.743,0.0001,0.9127,5.4845,0.16641444069650835,44.0,12.883265999998912,0.00033153317111096894,True,False
ENSG00000123395,ok,not_requested,ok,21,292,210.0,0.0423,1.4761,0.0287,0.00625906432748538,0.7937730994152047,0.0058,171.0,-4394.527197,42,0.05494,3.34308,4.525644,0.3876,7.0544,0.0004,0.007,0.0549,0.0095,0.1729,0.0549,0.3776,6.8743,0.054929229157877894,40,-4394.527198,43.0,0.3876,7.0543,0.05494,0.63649,0.0004,0.007,0.0549,0.0,0.0,0.6365,0.3871,7.0472,0.05492961743671245,40.0,-1.999998858082108e-06,1.0,True,False
ENSG00000123684,ok,not_requested,ok,23,368,253.0,0.1095,0.4355,0.2514,0.05494,0.25556285714285715,0.21910000000000002,210.0,-6570.64833,46,0.20943,2.72257,3.344057,0.5446,2.6005,0.0,0.0,0.2094,0.0186,0.0889,0.2094,0.526,2.5114,0.2094449311141196,44,-6569.985638,47.0,0.5447,2.5953,0.20486,20.25952,0.0,0.0,0.2049,0.0132,0.0007,20.2595,0.5315,2.5946,0.20484853156555924,44.0,1.325383999999758,0.24962807209311672,True,False
ENSG00000124145,ok,not_requested,ok,24,200,276.0,0.3655,2.1527,0.1698,0.12594285714285713,0.6493190476190476,0.1973,231.0,-6181.16305,48,0.23885,2.63258,8.571106,1.5972,6.687,0.0046,0.0194,0.2389,0.0422,0.1767,0.2389,1.5502,6.4911,0.2388193064349648,46,-6181.16305,49.0,1.5972,6.687,0.23885,12.55144,0.0046,0.0194,0.2389,0.0,0.0,12.5514,1.5924,6.6679,0.2388158190734714,46.0,0.0,1.0,True,False
ENSG00000124214,ok,not_requested,ok,24,488,276.0,0.0515,0.8602,0.0599,0.027144588744588746,0.35254329004329005,0.055,231.0,-8901.055489,48,0.10058,2.56555,4.03037,0.3901,3.8788,0.0006,0.0064,0.1006,0.0123,0.1227,0.1006,0.3768,3.7497,0.10048803904312346,46,-8900.81961,49.0,0.3903,3.883,0.1019,0.07631,0.0007,0.0064,0.1019,0.016,0.2094,0.0763,0.3738,3.6668,0.10194174757281554,46.0,0.4717579999996815,0.4921795161933795,True,False
ENSG00000124641,ok,not_requested,ok,21,212,210.0,0.0442,1.5783,0.028,0.018321052631578946,0.4762228070175439,0.0265,171.0,-3400.96321,42,0.06129,3.85869,3.810825,0.2632,4.2943,0.0003,0.0056,0.0613,0.0108,0.177,0.0613,0.252,4.1119,0.06128553709963763,40,-3399.72846,43.0,0.2639,4.3856,0.06533,0.03794,0.0004,0.0056,0.0653,0.0313,0.8238,0.0379,0.2323,3.556,0.06532620922384702,40.0,2.469500000000153,0.11607484393639916,True,False
ENSG00000124688,ok,not_requested,ok,23,274,253.0,0.2722,1.5114,0.1801,0.09745666666666666,0.4665714285714286,0.21405000000000002,210.0,-7079.499702,46,0.23924,3.17437,6.498195,1.1333,4.737,0.0221,0.0923,0.2392,0.055,0.2299,0.2392,1.0561,4.4149,0.23921266619855489,44,-7077.518677,47.0,1.1333,4.9121,0.24828,0.08009,0.0226,0.0909,0.2483,0.0411,0.5129,0.0801,1.0697,4.3083,0.24828818791634755,44.0,3.96205000000009,0.04653699665249799,True,False
